Entrez_Id_1	Entrez_Id_2	Symbol_1	Symbol_2	Binary	BinarySingle	CoComplex	Prediction
10488	1666	CREB3	DECR1	0	0	1	0
8349	94239	HIST2H2BE	H2AFV	0	0	0	1
29925	29926	GMPPB	GMPPA	1	0	1	0
11069	53916	RAPGEF4	RAB4B	0	0	0	1
3932	5583	LCK	PRKCH	0	0	0	1
64377	10082	CHST8	GPC6	0	0	1	0
8233	23451	ZRSR2	SF3B1	0	0	1	0
3881	85359	KRT31	DGCR6L	1	0	0	0
4236	8676	MFAP1	STX11	1	0	0	0
7518	28990	XRCC4	ASTE1	1	0	0	0
3215	5459	HOXB5	POU4F3	0	0	0	1
4188	285753	MDFI	CEP57L1	1	0	0	0
5865	6014	RAB3B	RIT2	0	0	0	1
5682	5691	PSMA1	PSMB3	0	0	1	1
5727	79770	PTCH1	TXNDC15	0	0	1	0
64377	26002	CHST8	MOXD1	0	0	1	0
3113	55243	HLA-DPA1	KIRREL	0	0	1	0
8291	8527	DYSF	DGKD	1	0	0	0
29068	81559	ZBTB44	TRIM11	0	0	1	0
1133	6752	CHRM5	SSTR2	0	0	0	1
5563	5717	PRKAA2	PSMD11	1	0	0	0
84307	55311	ZNF397	ZNF444	0	0	1	0
1109	10327	AKR1C4	AKR1A1	0	0	0	1
2632	5226	GBE1	PGD	1	0	0	0
7128	54764	TNFAIP3	ZRANB1	0	0	0	1
4200	10873	ME2	ME3	0	0	0	1
5987	29922	TRIM27	NME7	1	0	0	0
2859	2775	GPR35	GNAO1	0	0	1	0
23640	1998	HSPBP1	ELF2	0	0	1	0
8342	55723	HIST1H2BM	ASF1B	0	0	0	1
23011	27342	RAB21	RABGEF1	1	0	0	0
28984	83660	RGCC	TLN2	0	0	1	0
5794	10076	PTPRH	PTPRU	0	0	0	1
1613	5074	DAPK3	PAWR	1	0	0	0
1031	60491	CDKN2C	NIF3L1	1	0	0	0
3106	55080	HLA-B	TAPBPL	0	0	0	1
25806	343472	VAX2	BARHL2	0	0	0	1
2810	572	SFN	BAD	1	0	0	0
7047	116179	TGM4	TGM7	0	0	0	1
2318	3751	FLNC	KCND2	1	0	0	0
3735	5048	KARS	PAFAH1B1	1	0	0	0
51562	64112	MBIP	MOAP1	1	0	0	0
6788	7185	STK3	TRAF1	1	0	0	0
5717	55791	PSMD11	LRIF1	1	0	0	0
393	4689	ARHGAP4	NCF4	0	0	0	1
5892	10320	RAD51D	IKZF1	1	0	0	0
54361	7024	WNT4	TFCP2	0	0	1	0
1896	27125	EDA	AFF4	0	0	1	0
7157	51741	TP53	WWOX	1	0	0	0
6128	6194	RPL6	RPS6	0	0	1	0
3202	26257	HOXA5	NKX2-8	0	0	0	1
573	5925	BAG1	RB1	1	0	0	0
4735	9584	SEPT2	RBM39	0	0	1	0
5867	9135	RAB4A	RABEP1	1	0	0	0
23001	56658	WDFY3	TRIM39	1	0	0	0
2549	9402	GAB1	GRAP2	1	0	0	0
29122	3105	PRSS50	HLA-A	0	0	1	0
5936	8900	RBM4	CCNA1	1	0	0	0
7431	11078	VIM	TRIOBP	1	0	0	0
2348	3615	FOLR1	IMPDH2	0	0	1	0
847	6786	CAT	STIM1	0	0	1	0
2020	3199	EN2	HOXA2	0	0	0	1
1432	8621	MAPK14	CDK13	0	0	1	0
10241	55138	CALCOCO2	FAM90A1	1	0	0	0
79159	63931	NOL12	MRPS14	0	0	1	0
1759	5303	DNM1	PIN4	1	0	0	0
4010	4487	LMX1B	MSX1	0	0	0	1
7409	55647	VAV1	RAB20	0	0	0	1
816	5292	CAMK2B	PIM1	0	0	0	1
7314	7337	UBB	UBE3A	1	0	0	0
51744	7982	CD244	ST7	0	0	1	0
3635	6850	INPP5D	SYK	0	0	0	1
26088	127703	GGA1	C1orf216	1	0	0	0
3113	3119	HLA-DPA1	HLA-DQB1	0	0	0	1
